Layers,Complexity,MSE Train,MSE Future,MSE Past
"(7, 1, 1)",10,0.02032890729606152,0.21476462483406067,1.229220271110535
"(7, 2, 1)",19,0.01900957152247429,0.1800173819065094,0.00796674657613039
"(7, 2, 1, 1)",21,0.019643884152174,0.22883720695972445,1.6029711961746216
"(7, 2, 1, 1, 1)",23,0.0205564834177494,0.2601642310619354,0.9275314807891846
"(7, 2, 2, 1)",25,0.01888729259371757,0.18367984890937805,0.370201975107193
"(7, 2, 1, 1, 1, 1)",25,0.02191903255879879,0.2057507038116455,0.2004251629114151
"(7, 2, 1, 2, 1)",26,0.019855599850416183,0.2026253044605255,0.024745810776948932
"(7, 2, 2, 1, 1)",27,0.01974556408822536,0.21707983314991,1.1473459005355835
"(7, 2, 1, 1, 1, 1, 1)",27,0.02399221248924732,0.3253278136253357,0.09146782010793686
"(7, 2, 1, 1, 2, 1)",28,0.02026057057082653,0.18772907555103305,0.14806132018566132
"(7, 2, 1, 2, 1, 1)",28,0.020318640395998955,0.21088603138923645,0.01671307533979416
"(7, 3, 1)",28,0.019137678667902943,0.190389022231102,0.02218245156109333
"(7, 2, 2, 1, 1, 1)",29,0.02021519280970097,0.2326962500810623,1.6260607242584229
"(7, 2, 1, 3, 1)",29,0.01999746449291706,0.2492761015892029,1.2515829801559448
"(7, 2, 3, 1)",29,0.01919891126453876,0.1963366270065308,0.59943026304245
"(7, 2, 1, 2, 1, 1, 1)",30,0.021479470655322075,0.2255014628171921,1.85093355178833
"(7, 3, 1, 1)",30,0.018958110362291336,0.23233458399772644,0.02127361297607422
"(7, 2, 1, 1, 1, 2, 1)",30,0.024380428716540337,0.2534558475017548,0.9151902794837952
"(7, 2, 1, 1, 2, 1, 1)",30,0.021883588284254074,0.20762412250041962,0.012196436524391174
"(7, 2, 1, 3, 1, 1)",31,0.021053805947303772,0.28435736894607544,0.016194680705666542
"(7, 2, 2, 2, 1)",31,0.019473392516374588,0.179961159825325,0.5306268334388733
"(7, 2, 2, 1, 1, 1, 1)",31,0.022040827199816704,0.3098635673522949,2.430431365966797
"(7, 2, 3, 1, 1)",31,0.01990809105336666,0.2746971845626831,1.074906826019287
"(7, 2, 1, 1, 3, 1)",31,0.02040838450193405,0.20815952122211456,0.6178308725357056
"(7, 3, 1, 1, 1)",32,0.01977921649813652,0.22261741757392883,0.01089770719408989
