Layers,MSE Train,MSE Future,MSE Train and Test
"(36,20,20,20,1)",0.010897048749029636,0.014738251455128191,0.010581434704363346
"(36,40,40,40,1)",0.010639290325343607,0.0168280228972435,0.010215037316083907
"(36,40,40,40,40,40,40,40,1)",0.009611901827156544,0.013413313776254654,0.008487483486533165
"(36,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1)",0.012509120628237724,0.011401748284697531,0.012287042662501337
"(36,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,1)",0.012513455003499985,0.01142843160778284,0.012306209839880466
"(36,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,1)",0.01250483188778162,0.011370799504220486,0.012278679572045805
"(36,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,1)",0.012504508718848228,0.011359730735421179,0.012276971712708471
"(36,400,400,400,1)",0.004309342708438635,0.02350068651139736,0.005683259200304746
"(36,50,50,50,50,50,50,50,50,1)",0.007941641844809055,0.020718352869153026,0.007906083017587662
"(36,600,600,600,600,600,600,600,600,1)",0.001971852732822299,0.015058549121022224,0.003160213865339756
